581,風邪薬,cold medicine,[かぜぐすり]
582,靴下,socks,[くつした]
583,たばこ,"tobacco, cigarette",
584,アイスコーヒー,iced coffee,
585,天ぷら,Japanese deep-fried food,[てんぷら]
586,肉,"flesh, meat",[にく]
587,昨夜,"last night, last evening (colloquial)",[ゆうべ]
588,流行る,"be in fashion, be popular",[はやる]
589,連れてくる,bring (a person),[つれてくる]
590,方,person (polite form),[かた]
591,零,zero,[れい]
592,雲,cloud,[くも]
593,空,sky,[そら]
594,人気,popularity,[にんき]
595,兄さん,(one's own) older brother (polite),[にいさん]
596,姉さん,(one's own) older sister (polite),[ねえさん]
597,平成,Heisei era,[へいせい]
598,毎月,every month,[まいつき]
599,半日,half a day,[はんにち]
600,半月,half a month,[はんつき]
601,なるほど,"I see, now I understand",
602,つまり,"in short, that is to say",
603,そのまま,"as it is, just like that",
604,はっきり,clearly,
605,大変,"awful, hard",[たいへん]
606,簡単,"simple, easy",[かんたん]
607,似ている,"look like, resemble",[にている]
608,驚く,"be surprised, be startled",[おどろく]
609,嫌,"dislike, don't like",[いや]
610,喧嘩,"fight, argument",[けんか]
611,遅れる,be late,[おくれる]
612,にんじん,carrot,
613,ジャガイモ,potato,
614,ナス,eggplant,
615,やかん,kettle,
616,話し合う,"discuss, talk over",[はなしあう]
617,残す,"leave, leave undone",[のこす]
618,ごちそうする,"treat, host (a meal)",
619,合う,"fit, match",[あう]
620,当たる,"(go straight and) hit, strike",[あたる]
621,集まる,"gather, be collected",[あつまる]
622,場所,"place, space",[ばしょ]
623,海,"sea, ocean",[うみ]
624,少年,boy (between 7 and 18 years old),[しょうねん]
625,孫,grandchild,[まご]
626,生徒,"pupil, student",[せいと]
627,高校,high school (for short),[こうこう]
628,年上,"older, senior",[としうえ]
629,卒業,graduation,[そつぎょう]
630,運動,"movement, exercise",[うんどう]
631,選手,"athlete, (sports) player",[せんしゅ]
632,映画,movie,[えいが]
633,英語,English,[えいご]
634,手紙,letter,[てがみ]
635,動物,animal,[どうぶつ]
636,音,"sound, noise",[おと]
637,海外,"overseas, abroad",[かいがい]
638,外国人,foreigner,[がいこくじん]
639,帰国,return to one's country,[きこく]
640,彼ら,they,[かれら]
641,機械,machine,[きかい]
642,基本,basics,[きほん]
643,今度,"this time, next time",[こんど]
644,最後,last,[さいご]
645,最初,"first, outset",[さいしょ]
646,準備,"preparation, arrangement",[じゅんび]
647,進む,"advance, move forward",[すすむ]
648,直接,directly,[ちょくせつ]
649,特に,"specially, particularly",[とくに]
650,届く,"reach, be received",[とどく]
651,なぜ,why,
652,並ぶ,"line up, be parallel",[ならぶ]
653,運ぶ,"carry, transport",[はこぶ]
654,直す,"repair, fix",[なおす]
655,反対,"oppose, object",[はんたい]
656,場合,"situation, case",[ばあい]
657,詳しい,"detailed, have detailed knowledge",[くわしい]
658,いたずら,"mischief, prank",
659,お祝い,celebration,[おいわい]
660,くし,comb,
661,こぼれる,"spill, overflow",
662,伝える,"convey, transmit",[つたえる]
663,膝,knee,[ひざ]
664,肘,elbow,[ひじ]
665,枕,pillow,[まくら]
666,建物,"building, structure",[たてもの]
667,道路,road,[どうろ]
668,四つ角,intersection,[よつかど]
669,曲がり角,corner (to turn),[まがりかど]
670,警察,police,[けいさつ]
671,空気,"air, atmosphere",[くうき]
672,スポーツ,sport,
673,チャンス,chance,
674,クリーニング,dry cleaning,
675,サービス,service,
676,グループ,group,
677,自宅,"one's house, one's home",[じたく]
678,家庭,"home, family",[かてい]
679,期間,"term, period",[きかん]
680,年度,"year, school year",[ねんど]
681,経験,"experience, knowledge or skill gained",[けいけん]
682,安全,"safety, security",[あんぜん]
683,危険,"danger, dangerous",[きけん]
684,注意,"attention, care",[ちゅうい]
685,成功,success,[せいこう]
686,努力,"endeavor, effort",[どりょく]
687,説明,"explanation, description",[せつめい]
688,地震,earthquake,[じしん]
689,手術,surgical operation,[しゅじゅつ]
690,火傷,burn,[やけど]
691,課題,"task, assignment",[かだい]
692,子,"young child, kid",[こ]
693,確認,confirmation,[かくにん]
694,実際,"reality, actual state",[じっさい]
695,国際,international,[こくさい]
696,会議,"conference, meeting",[かいぎ]
697,提案,"suggestion, proposal",[ていあん]
698,事務所,"office, one's place of business",[じむしょ]
699,教授,professor,[きょうじゅ]
700,世紀,century,[せいき]
701,あちこち,"all over, here and there",
702,そちら,there (polite),
703,あちら,over there (polite),
704,もし,"if, in case of",
705,うるさい,"noisy, annoying",
706,固い,"stiff, tight",[かたい]
707,深い,"deep, profound",[ふかい]
708,面白い,"interesting, funny",[おもしろい]
709,全く,"entirely, truly",[まったく]
710,半分,half,[はんぶん]
711,普通,"normal, regular",[ふつう]
712,分,"amount, share",[ぶん]
713,文化,culture,[ぶんか]
714,毎日,every day,[まいにち]
715,気を付ける,"be careful about, pay attention to",[きをつける]
716,守る,"protect, observe",[まもる]
717,もちろん,of course,
718,やはり,as expected,
719,いくら,how much (money),
720,よろしく,one's regards,
721,どなた,who (polite),
722,許す,"permit, forgive",[ゆるす]
723,分ける,"divide, share",[わける]
724,自然,nature,[しぜん]
725,アパート,"apartment, flat",
726,ホテル,hotel,
727,パソコン,personal computer,
728,うまい,good at,
729,明るい,"bright, cheerful",[あかるい]
730,急ぐ,"hurry, do quickly",[いそぐ]
731,歌,song,[うた]
732,中学校,junior high school,[ちゅうがっこう]
733,テスト,test,
734,ポスト,"postbox, mailbox",
735,ハンカチ,handkerchief,
736,髪,"hair, hairstyle",[かみ]
737,帽子,"hat, cap",[ぼうし]
738,被る,"wear, put on (on one's head)",[かぶる]
739,ブラウス,blouse,
740,週末,weekend,[しゅうまつ]
741,先週,last week,[せんしゅう]
742,再来週,the week after next,[さらいしゅう]
743,いつか,"some time, some day",
744,宿題,homework,[しゅくだい]
745,鍵,"key, lock",[かぎ]
746,傘,umbrella,[かさ]
747,乗り換える,"change, transfer",[のりかえる]
748,向かう,"face, head toward",[むかう]
749,本屋,bookstore (colloquial),[ほんや]
750,お茶,tea (polite),[おちゃ]
751,改札口,ticket gate,[かいさつぐち]
752,晴れ,"fine weather, clear sky",[はれ]
753,バス停,bus stop,[バスてい]
754,曇り,cloudy weather,[くもり]
755,塩,salt,[しお]
756,たくさん,"a lot, in large quantity",
