膚	Skin
軟	Soft
郊	Suburbs
頂	Summit
濯	Wash
渦	Whirlpool
聡	Wise
枯	Wither
祥	Auspicious
呂	Bath
偏	Biased
茨	Briar
陥	Cave In
鎖	Chain
賠	Compensation
恒	Constant
綾	Design
没	Die
擁	Embrace
遭	Encounter
噴	Erupt
殊	Especially
倫	Ethics
陳	Exhibit
隼	Falcon
乃	From
輔	Help
猟	Hunting
唆	Instigate
怠	Lazy
惰	Lazy
覇	Leadership
須	Necessary
牲	Offering
秩	Order
孤	Orphan
芳	Perfume
貫	Pierce
糧	Provisions
颯	Quick
慢	Ridicule
膨	Swell
遇	Treatment
諭	Admonish
随	All
胡	Barbarian
搭	Board
錦	Brocade
鯉	Carp
胞	Cell
浄	Cleanse
帥	Commander
諒	Comprehend
蒙	Darkness
曙	Dawn
惨	Disaster
稿	Draft
啓	Enlighten
披	Expose
繊	Fiber
徐	Gently
葵	Hollyhock
騰	Inflation
据	Install
莉	Jasmine
緯	Latitude
瓜	Melon
虐	Oppress
戴	Receive
艇	Rowboat
丹	Rust Colored
緋	Scarlet
准	Semi
舗	Shop
壌	Soil
駿	Speed
剰	Surplus
寛	Tolerance
庶	All
且	Also
顕	Appear
杏	Apricot
栞	Bookmark
欄	Column
冠	Crown
酷	Cruel
叙	Describe
逸	Deviate
紋	Family Crest
阿	Flatter
愚	Foolish
尚	Furthermore
拐	Kidnap
悠	Leisure
勲	Merit
疎	Neglect
謡	Noh Chanting
哺	Nurse
栽	Planting
践	Practice
呈	Present
傲	Proud
疾	Rapidly
茜	Red Dye
酬	Repay
呆	Shock
鎌	Sickle
粛	Solemn
茎	Stem
痴	Stupid
荘	Villa
鯨	Whale
卸	Wholesale
累	Accumulate
伏	Bow
虜	Captive
循	Circulation
粗	Coarse
凝	Congeal
栓	Cork
瑛	Crystal
旦	Dawn
奉	Dedicate
遼	Distant
郭	Enclosure
抹	Erase
佳	Excellent
惜	Frugal
憂	Grief
悼	Grieve
癒	Healing
栃	Horse Chestnut
龍	Imperial
弥	Increasing
髄	Marrow
傍	Nearby
愉	Pleasant
赴	Proceed
昌	Prosperous
憾	Remorse
朴	Simple
脊	Stature
該	The Above
之	This
鎮	Tranquilize
尿	Urine
賓	VIP
那	What
匠	Artisan
拍	Beat
縛	Bind
飽	Bored
柴	Brushwood
蝶	Butterfly
弦	Chord
凛	Cold
庸	Common
轄	Control
悦	Delight
窮	Destitute
嘉	Esteem
弊	Evil
